,hoax,link,timestamp
0,"“Se você enviar para apenas 20 contatos em um minuto... o Brasil inteiro vai desmascarar este Bandido. NÃO quebre essa corrente. Os incautos precisam ser esclarecidos antes que seja tarde demais...”. “Essa é a jornalista Patrícia Campos Mello, que fez matéria contra Bolsonaro na Folha. Petista de carteirinha!!”.",https://www.boatos.org/politica/reporter-patricia-mello-folha-haddad.html,2018-10-24 13:36:10
1,"Mais um que fará um passeio em Curitiba. Jean Willis tá fora da Câmara Federal já que o TSE validou os votos do prefeito de Maricá RJ. Wellington Quáquá.  Agora é definitivo, o deputado cuspidor, Jean Willis, fica de fora da câmara dos deputados, após a Justiça Eleitoral do Rio de Janeiro validar os votos obtidos pelo deputado Quaquá, cuja apuração estava sub judice. Com a legitimação dos votos do citado deputado retira o mandado de Jean Willis do PSOL. O coeficiente eleitoral favorece o Quaquá da cidade de Maricá RJ. Tchau querida...  Tem Notícia melhor que esta... deixe sua risada Quà Quà Quà Quà Quà Quà. Jean Willis tá fora da Câmara Federal já que o TSE validou os votos do Prefeito de Maricá RJ. Wellington Quáquá.",https://www.boatos.org/politica/jean-wyllys-perde-vaga-quaqua.html,2018-10-24 08:46:08
2," Quadrilha tentou sacar cheque de R$ 68 milhões. Disseram que era para campanha do Haddad. Também há denuncia de que as urnas na Bahia estão fraudadas.  Na Bahia, quadrilha tenta sacar um cheque de órgão federal no valor de 68 milhões para campanha de Haddad. Afirmaram também que urnas na Bahia foram fraudadas e que o governador do PT da Bahia pode estar envolvido.",https://www.boatos.org/politica/quadrilha-cheque-r-68-milhoes-haddad.html,2018-10-24 00:05:13
3,"COMPARTILHEM. GENTEEEEE URGENTE. AS URNAS ESTÃO PROGRAMADAS PARA TRABALHAR EM HORÁRIO DE VERÃO, NOS ESTADOS DE COSTUME, VIRAM QUE MUDARAM O HORÁRIO DE VERÃO? ISSO SIGNIFICA QUE AS URNAS NÃO IRÃO COMPUTAR OS VOTOS APÓS AS 16HORAS. GENTE AJUDEM A PENSAR E PROPAGAR ISTO. TODO CUIDADO É POUCO. ELES SÃO CAPAZES DE TUDO. Ñ VAMOS PERDER 7 MILHÕES DE VOTOS COMO NO PRIMEIRO TURNO.",https://www.boatos.org/politica/urnas-eletronicas-horario-verao.html,2018-10-23 18:13:49
4,"Acabou de dar agora na Odisseia FM 104.9 que a Brigada Militar de Serafina Corrêa aprendeu 4 urnas eletrônicas no carro de Thiago Feronato, dessas 3 urnas estavam preenchida com voto para o Haddad com pelo menos 81%. Repassem urgente, é um golpe contra o Bolsonaro e um crime contra seus seguidores. #B17",https://www.boatos.org/politica/brigada-militar-urnas-votos-haddad.html,2018-10-23 13:47:14
5,"“Bom dia, repassar nos grupos, urnas eletrônicas do TRE são apreendidas em carro particular com destino a Autazes no Amazonas!!!!”. “Polícia apreende urnas do TRE que iriam para o Amazonas”. “polícia apreende carro particular transportando urnas para Amazonas #urnasfraudadas”. “ATENÇÃO!!! Polícia do Amazonas apreende urnas eletrônicas em veículos particulares. Isso é muito grave!”.",https://www.boatos.org/politica/urnas-eletronicas-apreendidas-amazonas.html,2018-10-23 08:46:54
7,"Olhem que doideira: a Globo é quem transmite as corridas de F1 no Brasil; sabemos que ela se posiciona contra Bolsonaro, mas vai ter de engolir na madrugada de domingo, no grande prêmio do Japão, a inscrição #JB17 em todos os carros do grid. Coincidência? Sim! Os pilotos vão homenagear o companheiro Jules Bianch que faleceu em 2005 e tinha o número 17 no seu carro. O Mito ganha mais uma de graça!",https://www.boatos.org/esporte/globo-corrida-formula-1-jb17.html,2018-10-22 19:48:31
8,"“Tocaram fogo na loja da Havan do Luciano Hang, é a maior loja do grupo na Br 101 próximo a Joinville SC”. “Daqui até domingo se preparem para o caos que os petistas irão fazer no Brasil, isto é café pequeno. Loja do depósito central, tocaram fogo na Havan em Barra Velha SC”. “Empresário da HAVAN após ter sido citado pela Folha de São Paulo em ter financiado Bolsonaro fato que não foi provado e até o empresário já está nas redes sociais dizendo que vai processar a Folha de São Paulo , coincidentemente um de seus estabelecimentos está sendo consumido por incêndio!”.",https://www.boatos.org/brasil/incendio-lojas-havan-joinville.html,2018-10-22 13:55:01
9,"Gente, atenção! Estão tentando roubar dados de whatsapp das pessoas para fazer falsa lista do PT. Só hoje recebi 3: uma oferta de creme do Boticário, uma oferta de óculos da Chilli Beans e agora uma petição que imita o site avaaz.org, pedindo assinaturas para impugnar o Bolsonaro. CUIDADO! NÃO CLIQUEM. O site do falso avaaz vem como [site] Alertem o máximo de pessoas que puderem!",https://www.boatos.org/tecnologia/peticao-impugnar-bolsonaro-avaaz-site.html,2018-10-22 09:09:01
10,"ESSA PESQUISA SAIU, PARA O MERCADO FINANCEIRO!!! ESSA É A REAL!!! Tracking BTG que acabou de sair para o mercado financeiro: Bolsonaro 77%; Haddad 23%. PS: Votos válidos.  Temos que espalhar ao máximo, pois os institutos de pesquisas comprados vão começar a divulgar as falsas pesquisas onde Haddad em apenas 3 dias já se aproxima de Bolsonaro. Querem manipular as pesquisas para fraudar os resultados. Compartilhem sem dó!",https://www.boatos.org/politica/tracking-btg-bolsonaro-77-haddad-23.html,2018-10-21 21:04:12
