,address,living_area,price,rooms,url
0,Oterleekstraat 15 1023 ED Amsterdam,63.0,319.0,4.0,https://www.funda.nl/en/koop/amsterdam/huis-40009279-oterleekstraat-15/?navigateSource=resultlist
1,Bastenakenstraat 142 1066 JG Amsterdam,151.0,850.0,4.0,https://www.funda.nl/en/koop/amsterdam/huis-86457819-bastenakenstraat-142/?navigateSource=resultlist
2,Roeselarestraat 11 1066 SW Amsterdam,95.0,350.0,4.0,https://www.funda.nl/en/koop/amsterdam/huis-86457006-roeselarestraat-11/?navigateSource=resultlist
3,Jan Vrijmanstraat 165 1087 MB Amsterdam,158.0,699.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-40091461-jan-vrijmanstraat-165/?navigateSource=resultlist
4,Van Boshuizenstraat 547 1082 AV Amsterdam,155.0,700.0,8.0,https://www.funda.nl/en/koop/amsterdam/huis-40099508-van-boshuizenstraat-547/?navigateSource=resultlist
5,Emmy Andriessestraat 440 1087 LS Amsterdam,156.0,629.0,6.0,https://www.funda.nl/en/koop/amsterdam/huis-40084307-emmy-andriessestraat-440/?navigateSource=resultlist
6,Lisdoddelaan 135 1087 KB Amsterdam,256.0,1300.0,7.0,https://www.funda.nl/en/koop/amsterdam/huis-40084724-lisdoddelaan-135/?navigateSource=resultlist
7,Tuinderijlaan 65 1036 LM Amsterdam,134.0,495.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-86441023-tuinderijlaan-65/?navigateSource=resultlist
8,Kometensingel 431 1033 BM Amsterdam,92.0,375.0,4.0,https://www.funda.nl/en/koop/amsterdam/huis-40086644-kometensingel-431/?navigateSource=resultlist
9,Brigantijnkade 62 1086 VB Amsterdam,142.0,689.0,4.0,https://www.funda.nl/en/koop/amsterdam/huis-40070600-brigantijnkade-62/?navigateSource=resultlist
10,Meerpad 21 1025 LA Amsterdam,91.0,490.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-40077001-meerpad-21/?navigateSource=resultlist
11,Zuideinde 499 1035 PJ Amsterdam,188.0,860.0,6.0,https://www.funda.nl/en/koop/amsterdam/huis-40927509-zuideinde-499/?navigateSource=resultlist
12,G.J.M. Sarlemijnstraat 48 1064 DK Amsterdam,153.0,700.0,6.0,https://www.funda.nl/en/koop/amsterdam/huis-40913072-gjm-sarlemijnstraat-48/?navigateSource=resultlist
13,Jan Vrijmanstraat 216 1087 MP Amsterdam,202.0,1075.0,7.0,https://www.funda.nl/en/koop/amsterdam/huis-40903258-jan-vrijmanstraat-216/?navigateSource=resultlist
14,Valkenburgerstraat 138 . 1011 NA Amsterdam,246.0,2250.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-40989720-valkenburgerstraat-138/?navigateSource=resultlist
15,Haya van Someren-Downerstraat 32 1067 WR Amsterdam,129.0,450.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-40843916-haya-van-someren-downerstraat-32/?navigateSource=resultlist
16,Zuideinde 379 1035 PE Amsterdam,67.0,400.0,2.0,https://www.funda.nl/en/koop/amsterdam/huis-40849878-zuideinde-379/?navigateSource=resultlist
17,Groot Blankenberg 60 1082 AD Amsterdam,159.0,850.0,7.0,https://www.funda.nl/en/koop/amsterdam/huis-40845257-groot-blankenberg-60/?navigateSource=resultlist
18,Nico Jessekade 179 1087 MR Amsterdam,300.0,1225.0,8.0,https://www.funda.nl/en/koop/amsterdam/huis-40832024-nico-jessekade-179/?navigateSource=resultlist
19,Brigantijnkade 48 1086 VB Amsterdam,144.0,619.0,4.0,https://www.funda.nl/en/koop/amsterdam/huis-40839050-brigantijnkade-48/?navigateSource=resultlist
20,Edward Wrightstraat 5 1086 WC Amsterdam,181.0,829.0,6.0,https://www.funda.nl/en/koop/amsterdam/huis-40899174-edward-wrightstraat-5/?navigateSource=resultlist
21,Stade de Colombes 51 1098 VS Amsterdam,209.0,1275.0,4.0,https://www.funda.nl/en/koop/amsterdam/huis-40695332-stade-de-colombes-51/?navigateSource=resultlist
22,Osdorper Ban 811 1069 GA Amsterdam,146.0,485.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-86462899-osdorper-ban-811/?navigateSource=resultlist
23,Tosaristraat 5 1019 RT Amsterdam,95.0,500.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40006203-tosaristraat-5/?navigateSource=resultlist
