address,living_area,plot_size,price,rooms,url
Oterleekstraat 15 1023 ED Amsterdam,63,54.0,"€ 319,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/huis-40009279-oterleekstraat-15/?navigateSource=resultlist
Bastenakenstraat 142 1066 JG Amsterdam,151,200.0,"€ 850,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/huis-86457819-bastenakenstraat-142/?navigateSource=resultlist
Roeselarestraat 11 1066 SW Amsterdam,95,83.0,"€ 350,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/huis-86457006-roeselarestraat-11/?navigateSource=resultlist
Jan Vrijmanstraat 165 1087 MB Amsterdam,158,158.0,"€ 699,000 k.k.",5,https://www.funda.nl/en/koop/amsterdam/huis-40091461-jan-vrijmanstraat-165/?navigateSource=resultlist
Van Boshuizenstraat 547 1082 AV Amsterdam,155,89.0,"€ 700,000 k.k.",8,https://www.funda.nl/en/koop/amsterdam/huis-40099508-van-boshuizenstraat-547/?navigateSource=resultlist
Emmy Andriessestraat 440 1087 LS Amsterdam,156,117.0,"€ 629,000 k.k.",6,https://www.funda.nl/en/koop/amsterdam/huis-40084307-emmy-andriessestraat-440/?navigateSource=resultlist
Lisdoddelaan 135 1087 KB Amsterdam,256,254.0,"€ 1,300,000 k.k.",7,https://www.funda.nl/en/koop/amsterdam/huis-40084724-lisdoddelaan-135/?navigateSource=resultlist
Tuinderijlaan 65 1036 LM Amsterdam,134,120.0,"€ 495,000 k.k.",5,https://www.funda.nl/en/koop/amsterdam/huis-86441023-tuinderijlaan-65/?navigateSource=resultlist
Kometensingel 431 1033 BM Amsterdam,92,101.0,"€ 375,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/huis-40086644-kometensingel-431/?navigateSource=resultlist
Brigantijnkade 62 1086 VB Amsterdam,142,142.0,"€ 689,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/huis-40070600-brigantijnkade-62/?navigateSource=resultlist
Meerpad 21 1025 LA Amsterdam,91,98.0,"€ 490,000 k.k.",5,https://www.funda.nl/en/koop/amsterdam/huis-40077001-meerpad-21/?navigateSource=resultlist
Zuideinde 499 1035 PJ Amsterdam,188,610.0,"€ 860,000 k.k.",6,https://www.funda.nl/en/koop/amsterdam/huis-40927509-zuideinde-499/?navigateSource=resultlist
G.J.M. Sarlemijnstraat 48 1064 DK Amsterdam,153,163.0,"€ 700,000 k.k.",6,https://www.funda.nl/en/koop/amsterdam/huis-40913072-gjm-sarlemijnstraat-48/?navigateSource=resultlist
Jan Vrijmanstraat 216 1087 MP Amsterdam,202,136.0,"€ 1,075,000 k.k.",7,https://www.funda.nl/en/koop/amsterdam/huis-40903258-jan-vrijmanstraat-216/?navigateSource=resultlist
Valkenburgerstraat 138 . 1011 NA Amsterdam,246,246.0,"€ 2,250,000 k.k.",5,https://www.funda.nl/en/koop/amsterdam/huis-40989720-valkenburgerstraat-138/?navigateSource=resultlist
Haya van Someren-Downerstraat 32 1067 WR Amsterdam,129,204.0,"€ 450,000 k.k.",5,https://www.funda.nl/en/koop/amsterdam/huis-40843916-haya-van-someren-downerstraat-32/?navigateSource=resultlist
Zuideinde 379 1035 PE Amsterdam,67,380.0,"€ 400,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/huis-40849878-zuideinde-379/?navigateSource=resultlist
Groot Blankenberg 60 1082 AD Amsterdam,159,162.0,"€ 850,000 k.k.",7,https://www.funda.nl/en/koop/amsterdam/huis-40845257-groot-blankenberg-60/?navigateSource=resultlist
Nico Jessekade 179 1087 MR Amsterdam,300,206.0,"€ 1,225,000 k.k.",8,https://www.funda.nl/en/koop/amsterdam/huis-40832024-nico-jessekade-179/?navigateSource=resultlist
Brigantijnkade 48 1086 VB Amsterdam,144,132.0,"€ 619,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/huis-40839050-brigantijnkade-48/?navigateSource=resultlist
Edward Wrightstraat 5 1086 WC Amsterdam,181,273.0,"€ 829,000 k.k.",6,https://www.funda.nl/en/koop/amsterdam/huis-40899174-edward-wrightstraat-5/?navigateSource=resultlist
Stade de Colombes 51 1098 VS Amsterdam,209,436.0,"€ 1,275,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/huis-40695332-stade-de-colombes-51/?navigateSource=resultlist
Osdorper Ban 811 1069 GA Amsterdam,146,,"€ 485,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-86462899-osdorper-ban-811/?navigateSource=resultlist
Tosaristraat 5 1019 RT Amsterdam,95,,"€ 500,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40006203-tosaristraat-5/?navigateSource=resultlist
Laan van Vlaanderen 104 1066 KS Amsterdam,104,,"€ 375,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40093941-laan-van-vlaanderen-104/?navigateSource=resultlist
Dickenslaan 143 1102 XR Amsterdam,73,,"€ 235,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40093922-dickenslaan-143/?navigateSource=resultlist
Van Hallstraat 228 1051 HL Amsterdam,64,,"€ 365,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40091965-van-hallstraat-228/?navigateSource=resultlist
Ten Katestraat 53 III 1053 BZ Amsterdam,43,,"€ 285,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-40090691-ten-katestraat-53-iii/?navigateSource=resultlist
Beukenweg 3 -C 1092 AX Amsterdam,76,,"€ 450,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40099198-beukenweg-3-c/?navigateSource=resultlist
Eerste Jan van der Heijdenstraat 28 -II-V 1072 TT Amsterdam,41,,"€ 300,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-40098854-eerste-jan-van-der-heijdenstraat-28-ii-v/?navigateSource=resultlist
Karel du Jardinstraat 24 -III 1072 SJ Amsterdam,91,,"€ 549,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40098781-karel-du-jardinstraat-24-iii/?navigateSource=resultlist
Standerdmolen 28 1035 EB Amsterdam,96,,"€ 249,011 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40097862-standerdmolen-28/?navigateSource=resultlist
Burgemeester Cramergracht 46 1064 AE Amsterdam,63,,"€ 210,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40083512-burgemeester-cramergracht-46/?navigateSource=resultlist
Delistraat 30 -A 1094 CW Amsterdam,54,,"€ 375,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-40081338-delistraat-30-a/?navigateSource=resultlist
Lizzy Ansinghstraat 103 1072 RE Amsterdam,125,,"€ 729,000 k.k.",5,https://www.funda.nl/en/koop/amsterdam/appartement-40081237-lizzy-ansinghstraat-103/?navigateSource=resultlist
Murdoch Mackenziestraat 14 1086 WH Amsterdam,147,,"€ 729,000 k.k.",6,https://www.funda.nl/en/koop/amsterdam/appartement-40080520-murdoch-mackenziestraat-14/?navigateSource=resultlist
Marco Polostraat 265 H 1056 DM Amsterdam,73,,"€ 495,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-86441036-marco-polostraat-265-h/?navigateSource=resultlist
Marco Polostraat 106 II 1057 WV Amsterdam,97,,"€ 495,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40085290-marco-polostraat-106-ii/?navigateSource=resultlist
Bos en Lommerplantsoen 39 H 1055 AA Amsterdam,30,,"€ 190,000 k.k.",1,https://www.funda.nl/en/koop/amsterdam/appartement-40074836-bos-en-lommerplantsoen-39-h/?navigateSource=resultlist
Cabralstraat 21 II 1057 CD Amsterdam,48,,"€ 295,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-86432306-cabralstraat-21-ii/?navigateSource=resultlist
Nassaukade 147 -A 1052 EH Amsterdam,161,,"€ 925,000 k.k.",6,https://www.funda.nl/en/koop/amsterdam/appartement-40075372-nassaukade-147-a/?navigateSource=resultlist
Van Hilligaertstraat 224 1072 PM Amsterdam,51,,"€ 399,500 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-86413596-van-hilligaertstraat-224/?navigateSource=resultlist
Zeeburgerdijk 716 1095 LG Amsterdam,127,,"€ 500,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40918108-zeeburgerdijk-716/?navigateSource=resultlist
Admiralengracht 119 G 1057 ET Amsterdam,107,,"€ 610,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40832702-admiralengracht-119-g/?navigateSource=resultlist
Weerdestein 124 1083 GH Amsterdam,135,,"€ 645,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40824596-weerdestein-124/?navigateSource=resultlist
Meerhuizenstraat 14 J 1078 TH Amsterdam,97,,"€ 542,500 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40814434-meerhuizenstraat-14-j/?navigateSource=resultlist
Tweede Goudsbloemdwarsstraat 28 1015 JZ Amsterdam,93,26.0,"€ 899,000 k.k.",5,https://www.funda.nl/en/koop/amsterdam/huis-40000646-tweede-goudsbloemdwarsstraat-28/?navigateSource=resultlist
Galileïplantsoen 22 1098 NA Amsterdam,137,120.0,"€ 900,000 k.k.",6,https://www.funda.nl/en/koop/amsterdam/huis-40008012-galileiplantsoen-22/?navigateSource=resultlist
Wenslauerstraat 57 1053 AW Amsterdam,147,121.0,"€ 750,000 k.k.",5,https://www.funda.nl/en/koop/amsterdam/huis-40092807-wenslauerstraat-57/?navigateSource=resultlist
Zwanebloemlaan 214 1087 GD Amsterdam,175,,"€ 695,000 k.k.",6,https://www.funda.nl/en/koop/amsterdam/huis-40090128-zwanebloemlaan-214/?navigateSource=resultlist
Vegastraat 194 1033 JB Amsterdam,96,122.0,"€ 375,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/huis-40090622-vegastraat-194/?navigateSource=resultlist
Vrijburg 79 1068 PP Amsterdam,95,89.0,"€ 279,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/huis-40099860-vrijburg-79/?navigateSource=resultlist
Cornelis van Alkemadestraat 36 1065 AC Amsterdam,142,114.0,"€ 525,000 k.k.",9,https://www.funda.nl/en/koop/amsterdam/huis-40095328-cornelis-van-alkemadestraat-36/?navigateSource=resultlist
Aldebaranplein 27 1033 GR Amsterdam,57,110.0,"€ 315,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/huis-40084120-aldebaranplein-27/?navigateSource=resultlist
IJburglaan 1602 1087 MA Amsterdam,149,,"€ 775,000 k.k.",5,https://www.funda.nl/en/koop/amsterdam/huis-40083940-ijburglaan-1602/?navigateSource=resultlist
Buiksloterbreek 17 1034 XC Amsterdam,92,51.0,"€ 450,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/huis-40082499-buiksloterbreek-17/?navigateSource=resultlist
Purmerweg 78 1023 BB Amsterdam,65,153.0,"€ 350,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/huis-40080786-purmerweg-78/?navigateSource=resultlist
Brigantijnkade 8 1086 VB Amsterdam,151,149.0,"€ 645,000 k.k.",7,https://www.funda.nl/en/koop/amsterdam/huis-86449298-brigantijnkade-8/?navigateSource=resultlist
