,ingredient,title
0,tomate,Galinha com quiabo
1,frango,Galinha com quiabo
2,cebola,Galinha com quiabo
3,alho,Galinha com quiabo
4,azeite,Galinha com quiabo
5,quiabo,Galinha com quiabo
6,milho,Galinha com quiabo
7,sal,Galinha com quiabo
8,frango,Strogonoff de frango
9,alho,Strogonoff de frango
10,sal,Strogonoff de frango
11,cebola,Strogonoff de frango
12,maionese,Strogonoff de frango
13,manteiga,Strogonoff de frango
14,ketchup,Strogonoff de frango
15,mostarda,Strogonoff de frango
16,cogumelo,Strogonoff de frango
17,leite,Strogonoff de frango
18,batata,Strogonoff de frango
19,carne,Strogonoff de carne
20,cebola,Strogonoff de carne
21,palmito,Strogonoff de carne
22,sal,Strogonoff de carne
23,leite,Strogonoff de carne
24,tomate,Strogonoff de carne
25,oleo,Strogonoff de carne
26,ketchup,Strogonoff de carne
27,carne,Strogonoff de carne
28,carne,Escondidinho de carne moída
29,cebola,Escondidinho de carne moída
30,alho,Escondidinho de carne moída
31,sal,Escondidinho de carne moída
32,salsinha,Escondidinho de carne moída
33,oleo,Escondidinho de carne moída
34,batata,Escondidinho de carne moída
35,manteiga,Escondidinho de carne moída
36,leite,Escondidinho de carne moída
37,parmesao,Escondidinho de carne moída
38,mussarela,Escondidinho de carne moída
39,farinha,Kibe de feira
40,carne,Kibe de feira
41,sal,Kibe de feira
42,trigo,Kibe de feira
43,oleo,Kibe de feira
44,alho,Kibe de feira
45,trigo,A melhor receita de esfiha aberta
46,fermento,A melhor receita de esfiha aberta
47,acucar,A melhor receita de esfiha aberta
48,sal,A melhor receita de esfiha aberta
49,oleo,A melhor receita de esfiha aberta
50,fuba,A melhor receita de esfiha aberta
51,carne,A melhor receita de esfiha aberta
52,oleo,Bolo de cenoura
53,cenoura,Bolo de cenoura
54,ovo,Bolo de cenoura
55,acucar,Bolo de cenoura
56,trigo,Bolo de cenoura
57,fermento,Bolo de cenoura
58,manteiga,Bolo de cenoura
59,acucar,Bolo de cenoura
60,leite,Bolo de cenoura
61,cebola,Blooming onion (cebola tipo outback)
62,ovo,Blooming onion (cebola tipo outback)
63,leite,Blooming onion (cebola tipo outback)
64,trigo,Blooming onion (cebola tipo outback)
65,fuba,Blooming onion (cebola tipo outback)
66,sal,Blooming onion (cebola tipo outback)
67,pimento,Blooming onion (cebola tipo outback)
68,pimenta,Blooming onion (cebola tipo outback)
69,oregano,Blooming onion (cebola tipo outback)
70,tomilho,Blooming onion (cebola tipo outback)
71,cominho,Blooming onion (cebola tipo outback)
72,maionese,Blooming onion (cebola tipo outback)
73,ketchup,Blooming onion (cebola tipo outback)
74,sal,Blooming onion (cebola tipo outback)
75,oregano,Blooming onion (cebola tipo outback)
76,pimenta,Blooming onion (cebola tipo outback)
77,tomate,Maminha ou picanha na cerveja preta
78,cebola,Maminha ou picanha na cerveja preta
79,cebola,Maminha ou picanha na cerveja preta
80,sal,Maminha ou picanha na cerveja preta
81,pimenta,Maminha ou picanha na cerveja preta
82,louro,Maminha ou picanha na cerveja preta
83,cabeca,Pirão de Peixe
84,cebola,Pirão de Peixe
85,pimentao,Pirão de Peixe
86,tomate,Pirão de Peixe
87,coentro,Pirão de Peixe
88,limao,Pirão de Peixe
89,sal,Pirão de Peixe
90,pimenta,Pirão de Peixe
91,tomate,Pirão de Peixe
92,mandioca,Pirão de Peixe
93,camarao,Moqueca de camarão
94,suco,Moqueca de camarão
95,azeite,Moqueca de camarão
96,cebola,Moqueca de camarão
97,coentro,Moqueca de camarão
98,salsinha,Moqueca de camarão
99,cebolinha,Moqueca de camarão
100,tomate,Moqueca de camarão
101,sal,Moqueca de camarão
102,leite,Moqueca de camarão
103,merluza,Peixe Empanado com Molho Tártaro
104,alho,Peixe Empanado com Molho Tártaro
105,suco,Peixe Empanado com Molho Tártaro
106,sal,Peixe Empanado com Molho Tártaro
107,ovo,Peixe Empanado com Molho Tártaro
108,trigo,Peixe Empanado com Molho Tártaro
109,oleo,Peixe Empanado com Molho Tártaro
110,picadinho,Peixe Empanado com Molho Tártaro
111,azeitona,Peixe Empanado com Molho Tártaro
112,cebola,Peixe Empanado com Molho Tártaro
113,alho,Peixe Empanado com Molho Tártaro
114,salsinha,Peixe Empanado com Molho Tártaro
115,shoyu,Peixe Empanado com Molho Tártaro
116,leite,Peixe Empanado com Molho Tártaro
117,mostarda,Peixe Empanado com Molho Tártaro
118,ketchup,Peixe Empanado com Molho Tártaro
119,maionese,Peixe Empanado com Molho Tártaro
120,merluza,Peixe no papelote
121,alho,Peixe no papelote
122,cebola,Peixe no papelote
123,alcaparra,Peixe no papelote
124,limao,Peixe no papelote
125,sal,Peixe no papelote
126,papel,Peixe no papelote
127,espaguete,Espaguete à carbonara
128,manteiga,Espaguete à carbonara
129,leite,Espaguete à carbonara
130,bacon,Espaguete à carbonara
131,cebola,Espaguete à carbonara
132,ovo,Espaguete à carbonara
133,carne,Rocambole de carne moída maravilhoso
134,cebola,Rocambole de carne moída maravilhoso
135,presunto,Rocambole de carne moída maravilhoso
136,verde,Rocambole de carne moída maravilhoso
137,sal,Rocambole de carne moída maravilhoso
138,carne,Bifinho de carne moída
139,cebola,Bifinho de carne moída
140,alho,Bifinho de carne moída
141,sal,Bifinho de carne moída
142,azeite,Bifinho de carne moída
143,cebola,Sopa de Tomate
144,azeite,Sopa de Tomate
145,alho,Sopa de Tomate
146,tomate,Sopa de Tomate
147,tomate,Sopa de Tomate
148,sal,Sopa de Tomate
149,salsinha,Sopa de Tomate
150,pimenta,Sopa de Tomate
151,espaguete,Macarrão ao pesto
152,oleo,Macarrão ao pesto
153,manjericao,Macarrão ao pesto
154,azeite,Macarrão ao pesto
155,sal,Macarrão ao pesto
156,macarrao,Macarrão alho e óleo
157,alho,Macarrão alho e óleo
158,manteiga,Macarrão alho e óleo
159,azeite,Macarrão alho e óleo
160,sal,Macarrão alho e óleo
161,alho,Macarrão alho e óleo
162,louro,Macarrão alho e óleo
163,batata,Caldo verde
164,frango,Caldo verde
165,oleo,Caldo verde
166,sal,Caldo verde
167,manteiga,Caldo verde
168,linguica,Caldo verde
169,batata,Aligot (purê de batatas com queijo)
170,manteiga,Aligot (purê de batatas com queijo)
171,alho,Aligot (purê de batatas com queijo)
172,leite,Aligot (purê de batatas com queijo)
173,sal,Aligot (purê de batatas com queijo)
174,batata,Batata rosti deliciosa
175,margarina,Batata rosti deliciosa
176,requeijao,Batata rosti deliciosa
177,minas,Batata rosti deliciosa
178,sal,Batata rosti deliciosa
179,oregano,Batata rosti deliciosa
180,lentilha,Mjadra - arroz com lentilha à moda síria
181,azeite,Mjadra - arroz com lentilha à moda síria
182,cebola,Mjadra - arroz com lentilha à moda síria
183,arroz,Mjadra - arroz com lentilha à moda síria
184,sal,Mjadra - arroz com lentilha à moda síria
185,pimenta,Mjadra - arroz com lentilha à moda síria
186,palmito,Estrogonofe especial de palmito
187,leite,Estrogonofe especial de palmito
188,tomate,Estrogonofe especial de palmito
189,ketchup,Estrogonofe especial de palmito
190,mostarda,Estrogonofe especial de palmito
191,cebola,Estrogonofe especial de palmito
192,alho,Estrogonofe especial de palmito
193,azeite,Estrogonofe especial de palmito
194,sal,Estrogonofe especial de palmito
195,presunto,Melhor tomate recheado do mundo
196,alho,Melhor tomate recheado do mundo
197,manteiga,Melhor tomate recheado do mundo
198,oregano,Melhor tomate recheado do mundo
199,tomate,Melhor tomate recheado do mundo
200,lentilha,Sopa de lentilha
201,batata,Sopa de lentilha
202,cenoura,Sopa de lentilha
203,linguica,Sopa de lentilha
204,pimenta,Sopa de lentilha
205,cebolinha,Sopa de lentilha
206,cebola,Sopa de lentilha
207,alho,Sopa de lentilha
208,oleo,Sopa de lentilha
209,arroz,Arroz carreteiro simples
210,carne,Arroz carreteiro simples
211,bacon,Arroz carreteiro simples
212,calabresa,Arroz carreteiro simples
213,tomate,Arroz carreteiro simples
214,cebola,Arroz carreteiro simples
215,pimenta,Arroz carreteiro simples
216,salsa,Arroz carreteiro simples
217,sal,Arroz carreteiro simples
218,preto,Feijoada
219,carne,Feijoada
220,porco,Feijoada
221,porco,Feijoada
222,porco,Feijoada
223,costelinha,Feijoada
224,porco,Feijoada
225,paio,Feijoada
226,linguica,Feijoada
227,cebola,Feijoada
228,cebolinha,Feijoada
229,louro,Feijoada
230,alho,Feijoada
231,pimenta,Feijoada
