Team_i,Team_j,home_i,home_j,score_i,score_j,date,
china,thailand,0,0,4,0,6 April 2018,
jordan,philippines,1,0,1,2,6 April 2018,
philippines,china,0,0,0,3,9 April 2018,
thailand,jordan,0,1,6,1,9 April 2018,
jordan,china,1,0,1,8,12 April 2018,
thailand,philippines,0,0,3,1,12 April 2018,
japan,vietnam,0,0,4,0,7 April 2018,
australia,south korea,0,0,0,0,7 April 2018,
south korea,japan,0,0,0,0,10 April 2018,
vietnam,australia,0,0,0,8,10 April 2018,
japan,australia,0,0,1,1,13 April 2018,
south korea,vietnam,0,0,4,0,13 April 2018,
philippines,south korea,0,0,0,5,16 April 2018,
australia,thailand,0,0,2,2,17 April 2018,
china,japan,0,0,1,3,17 April 2018,
china,thailand,0,0,3,1,20 April 2018,
japan,australia,0,0,1,0,20 April 2018,
ghana,algeria,1,0,1,0,17 November 2018,
mali,cameroon,0,0,1,2,17 November 2018,
ghana,mali,1,0,1,2,20 November 2018,
cameroon,algeria,0,0,3,0,20 November 2018,
cameroon,ghana,0,1,1,1,23 November 2018,
algeria,mali,0,0,2,3,23 November 2018,
nigeria,south africa,0,0,0,1,18 November 2018,
zambia,equatorial guinea,0,0,5,0,18 November 2018,
nigeria,zambia,0,0,4,0,21 November 2018,
equatorial guinea,south africa,0,0,1,7,21 November 2018,
equatorial guinea,nigeria,0,0,0,6,24 November 2018,
south africa,zambia,0,0,1,1,24 November 2018,
cameroon,nigeria,0,0,0,0,27 November 2018,
south africa,mali,0,0,2,0,27 November 2018,
cameroon,mali,0,0,4,2,30 November 2018,
nigeria,south africa,0,0,0,0,1 December 2018,
trinidad,panama,0,0,0,3,4 October 2018,
united states,mexico,1,0,6,0,4 October 2018,
panama,united states,0,1,0,5,7 October 2018,
mexico,trinidad,0,0,4,1,7 October 2018,
panama,mexico,0,0,2,0,10 October 2018,
trinidad,united states,0,1,0,7,10 October 2018,
costa rica,cuba,0,0,8,0,5 October 2018,
canada,jamaica,0,0,2,0,5 October 2018,
