rank,team,rating
1,United States,2101
2,Germany,2072
3,England,2049
4,France,2043
5,Canada,2006
6,Australia,2003
7,Japan,1991
8,Netherlands,1967
9,Sweden,1962
10,Brazil,1944
11,Korea DPR,1940
12,Norway,1915
13,Spain,1913
14,South Korea,1883
15,Italy,1868
16,China,1866
17,Denmark,1840
18,Switzerland,1828
19,New Zealand,1815
20,Scotland,1812
20,Belgium,1812
22,Iceland,1806
23,Austria,1798
24,Ukraine,1714
25,Russia,1713
26,Mexico,1700
26,Colombia,1700
28,Poland,1676
29,Czech Republic,1669
30,Portugal,1668
31,Ireland,1666
32,Finland,1665
33,Wales,1663
34,Thailand,1658
35,Vietnam,1638
36,Costa Rica,1630
37,Argentina,1626
38,Nigeria,1599
39,Chile,1589
40,Chinese Taipei,1574
41,Romania,1551
42,Uzbekistan,1545
43,Serbia,1539
44,Myanmar,1530
45,Hungary,1527
46,Slovakia,1499
46,Cameroon,1499
48,Paraguay,1494
49,South Africa,1485
50,Papua New Guinea,1479
51,Ghana,1452
52,Slovenia,1451
53,Jamaica,1449
54,Jordan,1440
55,Belarus,1436
56,Croatia,1433
56,Panama,1433
58,Venezuela,1421
59,Northern Ireland,1420
60,Trinidad,1414
61,Turkey,1410
62,Ecuador,1393
63,India,1392
63,Israel,1392
65,Peru,1380
66,Iran,1377
67,Greece,1376
68,Bosnia and Herzegovina,1374
69,Ivory Coast,1363
70,Equatorial Guinea,1356
71,Fiji,1350
72,Haiti,1349
72,Kazakhstan,1349
74,Philippines,1347
74,Uruguay,1347
76,Hong Kong,1335
77,Albania,1325
78,Bulgaria,1316
79,Morocco,1300
80,Guatemala,1288
81,Guam,1282
82,Bahrain,1274
83,Faroe Islands,1272
84,Algeria,1271
85,Mali,1267
86,Indonesia,1258
87,Tonga,1249
88,Senegal,1245
89,Guyana,1244
90,Malaysia,1243
91,New Caledonia,1239
92,Bolivia,1232
93,Cuba,1224
93,Latvia,1224
95,Moldova,1222
96,Tahiti,1218
97,Montenegro,1214
98,United Arab Emirates,1212
99,Estonia,1211
100,Congo,1196
101,Malta,1193
102,Zimbabwe,1192
103,Nepal,1181
104,El Salvador,1179
105,Puerto Rico,1175
106,Dominican Republic,1169
107,Lithuania,1168
108,Vanuatu,1161
109,Cook Islands,1159
110,Solomon Islands,1153
111,Palestine,1152
112,Georgia,1138
113,Luxembourg,1136
114,Samoa,1130
115,Cyprus,1123
116,Zambia,1119
117,Ethiopia,1117
118,Mongolia,1114
119,Suriname,1113
120,Singapore,1093
121,Nicaragua,1092
122,Burkina Faso,1062
123,Kosovo,1059
124,FYR Macedonia,1056
125,American Samoa,1047
126,Tajikistan,1031
127,Bangladesh,1008
128,Namibia,1006
129,St. Lucia,992
130,St. Kitts and Nevis,989
131,Bermuda,987
132,Barbados,984
133,Tanzania,976
134,Sri Lanka,974
135,Lebanon,967
136,Maldives,957
137,St. Vincent and the Grenadines,956
138,Kenya,921
139,Dominica,913
140,Rwanda,896
141,Grenada,892
142,Afghanistan,884
143,US Virgin Islands,874
144,Uganda,873
145,Mozambique,867
146,Lesotho,850
147,Malawi,837
148,Eswatini,804
149,Antigua and Barbuda,784
150,Bhutan,769
